provider_id,servicos_comp,custo_comp,avaliacao_comp,score
6125840,14,0.2777777777777778,4,1.0
6053289,15,0.25,3,0.9980372914622178
6228925,15,0.2222222222222222,3,0.9960745829244355
5439760,14,0.18518518518518517,4,0.993457638207393
9849238,13,0.13043478260869565,5,0.9895891112343729
822639,15,0.11538461538461539,3,0.988525703932966
9171762,14,0.07407407407407407,4,0.9856068040562642
4002601,14,0.3333333333333333,3,0.9332679097154071
9773053,14,0.3333333333333333,3,0.9332679097154071
9700803,13,0.3076923076923077,4,0.9314561787574545
2950545,15,0.2727272727272727,2,0.9289856365420643
5971683,13,0.25,4,0.9273797841020608
5668891,13,0.23809523809523808,4,0.926538623300154
3920011,13,0.19047619047619047,4,0.9231739800925276
6221173,13,0.18181818181818182,4,0.9225622267820501
633496,14,0.17857142857142858,3,0.9223328192906208
7793685,14,0.16,3,0.9210206084396466
7272642,14,0.15789473684210525,3,0.9208718557925728
4063082,14,0.14285714285714285,3,0.919809336884901
7323425,14,0.14285714285714285,3,0.919809336884901
3736636,12,0.14285714285714285,5,0.919809336884901
6339352,14,0.1111111111111111,3,0.91756624141315
6229778,15,0.0967741935483871,2,0.91655323055494
2355043,13,0.5,3,0.8743866535819431
6594808,14,0.36363636363636365,2,0.8647515389419216
981060,14,0.35714285714285715,2,0.8642927239590634
7418590,14,0.3333333333333333,2,0.8626104023552501
7125429,14,0.2777777777777778,2,0.8586849852796861
7150199,14,0.26666666666666666,2,0.857899901864573
9556710,15,0.2631578947368421,1,0.8576519807861165
9312188,14,0.2631578947368421,2,0.8576519807861165
7943350,14,0.25,2,0.8567222767419038
6989098,14,0.25,2,0.8567222767419038
6516041,13,0.25,3,0.8567222767419038
9868259,14,0.25,2,0.8567222767419038
9832483,13,0.25,3,0.8567222767419038
5567726,13,0.23076923076923078,3,0.8553634785234392
2846276,12,0.23076923076923078,4,0.8553634785234392
9837159,13,0.2222222222222222,3,0.8547595682041216
6756255,13,0.2222222222222222,3,0.8547595682041216
2547996,13,0.21428571428571427,3,0.854198794336184
